#           k/h    P           
 0.12076872E+00 0.47315864E+04
 0.12167917E+00 0.47001992E+04
 0.12258962E+00 0.46686724E+04
 0.12350006E+00 0.46368359E+04
 0.12441052E+00 0.46045298E+04
 0.12532096E+00 0.45716108E+04
 0.12623142E+00 0.45379541E+04
 0.12714186E+00 0.45034497E+04
 0.12805231E+00 0.44680054E+04
 0.12896276E+00 0.44315474E+04
 0.12987320E+00 0.43940205E+04
 0.13078365E+00 0.43553857E+04
 0.13169411E+00 0.43156245E+04
 0.13260455E+00 0.42747300E+04
 0.13351500E+00 0.42327178E+04
 0.13442545E+00 0.41896152E+04
 0.13533589E+00 0.41454668E+04
 0.13624634E+00 0.41003301E+04
 0.13715678E+00 0.40542764E+04
 0.13806725E+00 0.40073870E+04
 0.13897769E+00 0.39597542E+04
 0.13988814E+00 0.39114790E+04
 0.14079858E+00 0.38626714E+04
 0.14170903E+00 0.38134446E+04
 0.14261948E+00 0.37639192E+04
 0.14352994E+00 0.37142173E+04
 0.14444038E+00 0.36644634E+04
 0.14535083E+00 0.36147812E+04
 0.14626127E+00 0.35652974E+04
 0.14717172E+00 0.35161321E+04
 0.14808217E+00 0.34674053E+04
 0.14899261E+00 0.34192307E+04
 0.14990307E+00 0.33717195E+04
 0.15081352E+00 0.33249734E+04
 0.15172397E+00 0.32790906E+04
 0.15263441E+00 0.32341597E+04
 0.15354486E+00 0.31902634E+04
 0.15445530E+00 0.31474761E+04
 0.15536577E+00 0.31058606E+04
 0.15627621E+00 0.30654739E+04
 0.15718666E+00 0.30263628E+04
 0.15809710E+00 0.29885667E+04
 0.15900755E+00 0.29521133E+04
 0.15991800E+00 0.29170242E+04
 0.16082844E+00 0.28833098E+04
 0.16173890E+00 0.28509736E+04
 0.16264935E+00 0.28200110E+04
 0.16355979E+00 0.27904087E+04
 0.16447024E+00 0.27621465E+04
 0.16538069E+00 0.27351970E+04
 0.16629113E+00 0.27095249E+04
 0.16720159E+00 0.26850916E+04
 0.16811204E+00 0.26618491E+04
 0.16902249E+00 0.26397473E+04
 0.16993293E+00 0.26187288E+04
 0.17084338E+00 0.25987344E+04
 0.17175382E+00 0.25796990E+04
 0.17266427E+00 0.25615559E+04
 0.17357473E+00 0.25442349E+04
 0.17448518E+00 0.25276646E+04
 0.17539562E+00 0.25117715E+04
 0.17630607E+00 0.24964817E+04
 0.17721651E+00 0.24817195E+04
 0.17812696E+00 0.24674119E+04
 0.17903742E+00 0.24534834E+04
 0.17994787E+00 0.24398630E+04
 0.18085831E+00 0.24264790E+04
 0.18176876E+00 0.24132629E+04
 0.18267921E+00 0.24001482E+04
 0.18358965E+00 0.23870728E+04
 0.18450010E+00 0.23739761E+04
 0.18541056E+00 0.23608040E+04
 0.18632101E+00 0.23475034E+04
 0.18723145E+00 0.23340281E+04
 0.18814190E+00 0.23203354E+04
 0.18905234E+00 0.23063887E+04
 0.18996279E+00 0.22921555E+04
 0.19087325E+00 0.22776089E+04
 0.19178370E+00 0.22627268E+04
 0.19269414E+00 0.22474924E+04
 0.19360459E+00 0.22318945E+04
 0.19451503E+00 0.22159282E+04
 0.19542548E+00 0.21995911E+04
 0.19633593E+00 0.21828882E+04
 0.19724639E+00 0.21658271E+04
 0.19815683E+00 0.21484219E+04
 0.19906728E+00 0.21306885E+04
 0.19997773E+00 0.21126492E+04
 0.20088817E+00 0.20943274E+04
 0.20179862E+00 0.20757512E+04
 0.20270908E+00 0.20569517E+04
 0.20361952E+00 0.20379603E+04
 0.20452997E+00 0.20188137E+04
 0.20544042E+00 0.19995465E+04
 0.20635086E+00 0.19801974E+04
 0.20726131E+00 0.19608048E+04
 0.20817176E+00 0.19414066E+04
 0.20908222E+00 0.19220430E+04
 0.20999266E+00 0.19027516E+04
 0.21090311E+00 0.18835707E+04
 0.21181355E+00 0.18645372E+04
 0.21272400E+00 0.18456869E+04
 0.21363445E+00 0.18270536E+04
 0.21454489E+00 0.18086700E+04
 0.21545535E+00 0.17905668E+04
 0.21636580E+00 0.17727715E+04
 0.21727625E+00 0.17553103E+04
 0.22013511E+00 0.17028986E+04
 0.22303158E+00 0.16539402E+04
 0.22596616E+00 0.16088949E+04
 0.22893935E+00 0.15679603E+04
 0.23195167E+00 0.15310637E+04
 0.23500362E+00 0.14978719E+04
 0.23809573E+00 0.14678232E+04
 0.24122852E+00 0.14401765E+04
 0.24440254E+00 0.14140756E+04
 0.24761832E+00 0.13886261E+04
 0.25087640E+00 0.13629797E+04
 0.25417736E+00 0.13364139E+04
 0.25752175E+00 0.13084030E+04
 0.26091015E+00 0.12786698E+04
 0.26434314E+00 0.12472097E+04
 0.26782128E+00 0.12142791E+04
 0.27134520E+00 0.11803599E+04
 0.27491549E+00 0.11460891E+04
 0.27853274E+00 0.11121775E+04
 0.28219759E+00 0.10793169E+04
 0.28591067E+00 0.10480980E+04
 0.28967258E+00 0.10189417E+04
 0.29348400E+00 0.99205383E+03
 0.29734558E+00 0.96741138E+03
 0.30125797E+00 0.94477472E+03
 0.30522183E+00 0.92372833E+03
 0.30923787E+00 0.90374487E+03
 0.31330672E+00 0.88426117E+03
 0.31742913E+00 0.86476099E+03
 0.32160574E+00 0.84484796E+03
 0.32583734E+00 0.82429987E+03
 0.33012462E+00 0.80309235E+03
 0.33446831E+00 0.78139026E+03
 0.33886912E+00 0.75950549E+03
 0.34332788E+00 0.73783228E+03
 0.34784529E+00 0.71677014E+03
 0.35242212E+00 0.69665167E+03
 0.35705921E+00 0.67768597E+03
 0.36175728E+00 0.65992938E+03
 0.36651719E+00 0.64328503E+03
 0.37133971E+00 0.62753186E+03
 0.37622568E+00 0.61237671E+03
 0.38117594E+00 0.59751685E+03
 0.38619134E+00 0.58270233E+03
 0.39127272E+00 0.56778271E+03
 0.39642099E+00 0.55273035E+03
 0.40163699E+00 0.53763300E+03
 0.40692160E+00 0.52266089E+03
 0.41227576E+00 0.50801721E+03
 0.41770035E+00 0.49388309E+03
 0.42319635E+00 0.48037473E+03
 0.42876464E+00 0.46751886E+03
 0.43440619E+00 0.45525424E+03
 0.44012198E+00 0.44345554E+03
 0.44591299E+00 0.43197202E+03
 0.45178017E+00 0.42067020E+03
 0.45772457E+00 0.40946732E+03
 0.46374717E+00 0.39834763E+03
 0.46984902E+00 0.38735663E+03
 0.47603115E+00 0.37657761E+03
 0.48229462E+00 0.36609909E+03
 0.48864052E+00 0.35598401E+03
 0.49506989E+00 0.34625098E+03
 0.50158387E+00 0.33687222E+03
 0.50818360E+00 0.32778793E+03
 0.51487011E+00 0.31892899E+03
 0.52164459E+00 0.31024142E+03
 0.52850825E+00 0.30170157E+03
 0.53546220E+00 0.29331805E+03
 0.54250771E+00 0.28512186E+03
 0.54964584E+00 0.27714810E+03
 0.55687791E+00 0.26942023E+03
 0.56420517E+00 0.26193964E+03
 0.57162881E+00 0.25468718E+03
 0.57915014E+00 0.24763295E+03
 0.58677042E+00 0.24074881E+03
 0.59449095E+00 0.23401883E+03
 0.60231310E+00 0.22744208E+03
 0.61023813E+00 0.22102841E+03
 0.61826748E+00 0.21478967E+03
 0.62640250E+00 0.20873146E+03
 0.63464451E+00 0.20284975E+03
 0.64299494E+00 0.19713281E+03
 0.65145528E+00 0.19156677E+03
 0.70154345E+00 0.16265434E+03
 0.75548273E+00 0.13793080E+03
 0.81356919E+00 0.11680317E+03
 0.87612176E+00 0.98779861E+02
 0.94348377E+00 0.83432693E+02
 0.10160249E+01 0.70385612E+02
 0.10941436E+01 0.59307861E+02
 0.11782687E+01 0.49916801E+02
 0.12688617E+01 0.41967438E+02
 0.13664200E+01 0.35245903E+02
