#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.709608E-02   0.163982E+08   0.163929E+08   0.213100E+04   0.127369E+05   0.000000E+00   0.163974E+08   0.163974E+08   0.163886E+08  -0.387556E+00   0.849953E+07   0.849948E+07   0.233012E+01
   0.717536E-02   0.163618E+08   0.163564E+08   0.211195E+04   0.121051E+05   0.000000E+00   0.163610E+08   0.163610E+08   0.163524E+08  -0.386694E+00   0.848067E+07   0.848062E+07   0.234879E+01
   0.725553E-02   0.163251E+08   0.163196E+08   0.181628E+04   0.113714E+05   0.000000E+00   0.163242E+08   0.163242E+08   0.163158E+08  -0.385823E+00   0.846163E+07   0.846158E+07   0.236757E+01
   0.733660E-02   0.162880E+08   0.162824E+08   0.150425E+04   0.108003E+05   0.000000E+00   0.162871E+08   0.162871E+08   0.162790E+08  -0.384945E+00   0.844241E+07   0.844236E+07   0.238646E+01
   0.741857E-02   0.162506E+08   0.162449E+08   0.141710E+04   0.105690E+05   0.000000E+00   0.162497E+08   0.162497E+08   0.162417E+08  -0.384058E+00   0.842302E+07   0.842296E+07   0.240545E+01
   0.750146E-02   0.162128E+08   0.162070E+08   0.161890E+04   0.106636E+05   0.000000E+00   0.162119E+08   0.162119E+08   0.162041E+08  -0.383163E+00   0.840344E+07   0.840338E+07   0.242455E+01
   0.758528E-02   0.161747E+08   0.161687E+08   0.194436E+04   0.108824E+05   0.000000E+00   0.161738E+08   0.161738E+08   0.161662E+08  -0.382260E+00   0.838367E+07   0.838362E+07   0.244376E+01
   0.767003E-02   0.161362E+08   0.161301E+08   0.209469E+04   0.109510E+05   0.000000E+00   0.161353E+08   0.161353E+08   0.161278E+08  -0.381348E+00   0.836373E+07   0.836367E+07   0.246307E+01
   0.775572E-02   0.160974E+08   0.160912E+08   0.183314E+04   0.106875E+05   0.000000E+00   0.160964E+08   0.160964E+08   0.160892E+08  -0.380428E+00   0.834360E+07   0.834354E+07   0.248249E+01
   0.784238E-02   0.160582E+08   0.160518E+08   0.116142E+04   0.101174E+05   0.000000E+00   0.160572E+08   0.160572E+08   0.160501E+08  -0.379500E+00   0.832328E+07   0.832322E+07   0.250200E+01
   0.793000E-02   0.160187E+08   0.160122E+08   0.356074E+03   0.946239E+04   0.000000E+00   0.160176E+08   0.160176E+08   0.160107E+08  -0.378563E+00   0.830278E+07   0.830272E+07   0.252162E+01
   0.801861E-02   0.159787E+08   0.159721E+08  -0.177135E+03   0.900123E+04   0.000000E+00   0.159777E+08   0.159777E+08   0.159710E+08  -0.377618E+00   0.828209E+07   0.828203E+07   0.254134E+01
   0.810820E-02   0.159385E+08   0.159317E+08  -0.154000E+03   0.888704E+04   0.000000E+00   0.159374E+08   0.159374E+08   0.159308E+08  -0.376664E+00   0.826121E+07   0.826115E+07   0.256115E+01
